T_ONTIME_MARKETING 4
YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2774,10397,ATL,11042,CLE,1758,1756,-2.00,0.00,0.00,-1,11.00,1807,1918,6.00,1952,1924,-28.00,0.00,0.00,-2,0.00,,71.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2904,11066,CMH,10397,ATL,1630,1627,-3.00,0.00,0.00,-1,16.00,1643,1808,10.00,1810,1818,8.00,8.00,0.00,0,0.00,,85.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,713,11042,CLE,14869,SLC,800,759,-1.00,0.00,0.00,-1,15.00,814,933,18.00,1024,951,-33.00,0.00,0.00,-2,0.00,,199.00,1565.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,931,11066,CMH,10397,ATL,945,941,-4.00,0.00,0.00,-1,16.00,957,1123,13.00,1127,1136,9.00,9.00,0.00,0,0.00,,86.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,987,10397,ATL,11042,CLE,900,858,-2.00,0.00,0.00,-1,10.00,908,1020,6.00,1044,1026,-18.00,0.00,0.00,-2,0.00,,72.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,987,11042,CLE,10397,ATL,1130,1128,-2.00,0.00,0.00,-1,10.00,1138,1311,6.00,1337,1317,-20.00,0.00,0.00,-2,0.00,,93.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,3973,11066,CMH,13930,ORD,1145,1137,-8.00,0.00,0.00,-1,22.00,1159,1203,14.00,1216,1217,1.00,1.00,0.00,0,0.00,,64.00,296.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,3974,11042,CLE,13930,ORD,1015,1010,-5.00,0.00,0.00,-1,13.00,1023,1030,19.00,1045,1049,4.00,4.00,0.00,0,0.00,,67.00,315.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,3975,11618,EWR,11267,DAY,1622,1613,-9.00,0.00,0.00,-1,18.00,1631,1811,8.00,1830,1819,-11.00,0.00,0.00,-1,0.00,,100.00,533.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,3982,11278,DCA,11042,CLE,2035,2027,-8.00,0.00,0.00,-1,26.00,2053,2154,5.00,2157,2159,2.00,2.00,0.00,0,0.00,,61.00,310.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,3989,11618,EWR,11066,CMH,859,849,-10.00,0.00,0.00,-1,24.00,913,1036,4.00,1100,1040,-20.00,0.00,0.00,-2,0.00,,83.00,463.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,3992,11618,EWR,11042,CLE,2015,2042,27.00,27.00,1.00,1,12.00,2054,2202,7.00,2158,2209,11.00,11.00,0.00,0,0.00,,68.00,404.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,3994,11042,CLE,11618,EWR,943,938,-5.00,0.00,0.00,-1,14.00,952,1049,10.00,1119,1059,-20.00,0.00,0.00,-2,0.00,,57.00,404.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,4001,11042,CLE,12953,LGA,855,857,2.00,2.00,0.00,0,31.00,928,1033,8.00,1036,1041,5.00,5.00,0.00,0,0.00,,65.00,419.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,4004,11278,DCA,11042,CLE,655,651,-4.00,0.00,0.00,-1,16.00,707,805,7.00,818,812,-6.00,0.00,0.00,-1,0.00,,58.00,310.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,4015,12266,IAH,10874,CAK,1830,1818,-12.00,0.00,0.00,-1,23.00,1841,2146,4.00,2228,2150,-38.00,0.00,0.00,-2,0.00,,125.00,1085.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,4051,11042,CLE,10721,BOS,1746,1741,-5.00,0.00,0.00,-1,9.00,1750,1905,6.00,1931,1911,-20.00,0.00,0.00,-2,0.00,,75.00,563.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,EV,4063,13930,ORD,11066,CMH,745,743,-2.00,0.00,0.00,-1,48.00,831,1020,6.00,1005,1026,21.00,21.00,1.00,1,0.00,,49.00,296.00,0.00,0.00,21.00,0.00,0.00
